query,ngram_score
NEED MEDICAL ASSISTANCE MEDICAL,0
NEED MEDICAL ASSISTANCE DO,0
NEED MEDICAL ASSISTANCE MEDICAL DO,0
NEED MEDICAL DO ASSISTANCE,0
NEED MEDICAL,1.0485931298496545e-07
NEED MEDICAL DO,0
NEED MEDICAL DO MEDICAL,0
NEED MEDICAL DO MEDICAL ASSISTANCE,0
NEED MEDICAL DO MEDICAL DO,0
NEED ASSISTANCE MEDICAL ASSISTANCE,0
NEED ASSISTANCE MEDICAL ASSISTANCE MEDICAL,0
NEED ASSISTANCE MEDICAL ASSISTANCE DO,0
NEED MEDICAL ASSISTANCE DO ASSISTANCE,0
NEED ASSISTANCE MEDICAL,0
NEED ASSISTANCE MEDICAL DO,0
NEED MEDICAL ASSISTANCE DO MEDICAL,0
NEED ASSISTANCE MEDICAL DO ASSISTANCE,0
NEED ASSISTANCE MEDICAL DO MEDICAL,0
NEED MEDICAL DO ASSISTANCE MEDICAL,0
NEED MEDICAL DO ASSISTANCE DO,0
NEED ASSISTANCE DO MEDICAL ASSISTANCE,0
NEED ASSISTANCE DO MEDICAL,0
NEED ASSISTANCE DO MEDICAL DO,0
NEED ASSISTANCE,2.3305730396013433e-07
NEED ASSISTANCE DO,1.2123416853748736e-11
NEED ASSISTANCE DO ASSISTANCE,0
NEED ASSISTANCE DO ASSISTANCE MEDICAL,0
NEED ASSISTANCE DO ASSISTANCE DO,0
NEED DO MEDICAL ASSISTANCE,0
NEED DO MEDICAL,0
NEED DO MEDICAL DO,0
NEED DO ASSISTANCE,0
NEED DO ASSISTANCE MEDICAL,0
NEED DO ASSISTANCE DO,0
NEED DO,1.8441399011678852e-07
MEDICAL ASSISTANCE,3.971746353863733e-07
MEDICAL ASSISTANCE MEDICAL ASSISTANCE,4.0978112107274235e-11
MEDICAL ASSISTANCE MEDICAL,1.4298933333674788e-10
MEDICAL ASSISTANCE DO,5.2069683056007086e-11
MEDICAL ASSISTANCE MEDICAL DO,0
MEDICAL DO ASSISTANCE,0
MEDICAL,9.934577879414676e-05
MEDICAL DO,4.864440759921873e-10
MEDICAL DO MEDICAL,0
MEDICAL DO MEDICAL ASSISTANCE,0
MEDICAL DO MEDICAL DO,0
MEDICAL ASSISTANCE MEDICAL ASSISTANCE MEDICAL,0
MEDICAL ASSISTANCE MEDICAL ASSISTANCE DO,0
MEDICAL ASSISTANCE DO ASSISTANCE,0
MEDICAL ASSISTANCE DO MEDICAL,0
MEDICAL ASSISTANCE MEDICAL DO ASSISTANCE,0
MEDICAL ASSISTANCE MEDICAL DO MEDICAL,0
MEDICAL DO ASSISTANCE MEDICAL,0
MEDICAL DO ASSISTANCE DO,0
MEDICAL ASSISTANCE DO MEDICAL ASSISTANCE,0
MEDICAL ASSISTANCE DO MEDICAL DO,0
MEDICAL ASSISTANCE DO ASSISTANCE MEDICAL,0
MEDICAL ASSISTANCE DO ASSISTANCE DO,0
NOT MEDICAL ASSISTANCE,6.722096490552332e-11
NOT MEDICAL ASSISTANCE MEDICAL ASSISTANCE,0
NOT MEDICAL ASSISTANCE MEDICAL,0
NOT MEDICAL ASSISTANCE DO,0
NOT MEDICAL ASSISTANCE MEDICAL DO,0
NOT MEDICAL DO ASSISTANCE,0
NOT MEDICAL,4.990988060916505e-08
NOT MEDICAL DO,0
NOT MEDICAL DO MEDICAL,0
NOT MEDICAL DO MEDICAL ASSISTANCE,0
NOT MEDICAL DO MEDICAL DO,0
NOT ASSISTANCE MEDICAL ASSISTANCE,0
NOT ASSISTANCE MEDICAL ASSISTANCE MEDICAL,0
NOT ASSISTANCE MEDICAL ASSISTANCE DO,0
NOT MEDICAL ASSISTANCE DO ASSISTANCE,0
NOT ASSISTANCE MEDICAL,0
NOT ASSISTANCE MEDICAL DO,0
NOT MEDICAL ASSISTANCE DO MEDICAL,0
NOT ASSISTANCE MEDICAL DO ASSISTANCE,0
NOT ASSISTANCE MEDICAL DO MEDICAL,0
NOT MEDICAL DO ASSISTANCE MEDICAL,0
NOT MEDICAL DO ASSISTANCE DO,0
NOT ASSISTANCE DO MEDICAL ASSISTANCE,0
NOT ASSISTANCE DO MEDICAL,0
NOT ASSISTANCE DO MEDICAL DO,0
NOT ASSISTANCE,3.0217435232256693e-09
NOT ASSISTANCE DO,0
NOT ASSISTANCE DO ASSISTANCE,0
NOT ASSISTANCE DO ASSISTANCE MEDICAL,0
NOT ASSISTANCE DO ASSISTANCE DO,0
NOT DO MEDICAL ASSISTANCE,0
NOT DO MEDICAL,2.333608352852086e-10
NOT DO MEDICAL DO,0
NOT DO ASSISTANCE,0
NOT DO ASSISTANCE MEDICAL,0
NOT DO ASSISTANCE DO,0
NOT DO,3.9407500093084406e-05
NEED MEDICAL NEED ASSISTANCE,0
NEED MEDICAL NEED ASSISTANCE MEDICAL,0
NEED MEDICAL NEED ASSISTANCE DO,0
NEED MEDICAL NEED MEDICAL ASSISTANCE,0
NEED MEDICAL NEED MEDICAL,0
NEED MEDICAL NEED MEDICAL DO,0
NEED MEDICAL NEED DO ASSISTANCE,0
NEED MEDICAL NEED DO MEDICAL,0
NEED MEDICAL NEED DO,0
NEED ASSISTANCE NEED ASSISTANCE,0
NEED ASSISTANCE NEED ASSISTANCE MEDICAL,0
NEED ASSISTANCE NEED ASSISTANCE DO,0
NEED ASSISTANCE NEED MEDICAL ASSISTANCE,0
NEED ASSISTANCE NEED MEDICAL,0
NEED ASSISTANCE NEED MEDICAL DO,0
NEED ASSISTANCE NEED DO ASSISTANCE,0
NEED ASSISTANCE NEED DO MEDICAL,0
NEED ASSISTANCE NEED DO,0
MEDICAL NEED MEDICAL ASSISTANCE,0
MEDICAL NEED ASSISTANCE,0.0
MEDICAL NEED ASSISTANCE MEDICAL ASSISTANCE,0
MEDICAL NEED MEDICAL ASSISTANCE MEDICAL,0
MEDICAL NEED ASSISTANCE MEDICAL,0
MEDICAL NEED MEDICAL ASSISTANCE DO,0
MEDICAL NEED ASSISTANCE DO,0
MEDICAL NEED ASSISTANCE MEDICAL DO,0
MEDICAL NEED MEDICAL DO ASSISTANCE,0
MEDICAL NEED MEDICAL,0
MEDICAL NEED MEDICAL DO,0
MEDICAL NEED MEDICAL DO MEDICAL,0
MEDICAL NEED DO ASSISTANCE,0
MEDICAL NEED DO MEDICAL ASSISTANCE,0
MEDICAL NEED DO MEDICAL,0
MEDICAL NEED DO,0
MEDICAL NEED DO MEDICAL DO,0
MEDICAL ASSISTANCE NEED ASSISTANCE,0
MEDICAL ASSISTANCE NEED ASSISTANCE MEDICAL,0
MEDICAL ASSISTANCE NEED ASSISTANCE DO,0
MEDICAL NEED ASSISTANCE DO ASSISTANCE,0
MEDICAL ASSISTANCE NEED MEDICAL ASSISTANCE,0
MEDICAL ASSISTANCE NEED MEDICAL,0
MEDICAL ASSISTANCE NEED MEDICAL DO,0
MEDICAL NEED ASSISTANCE DO MEDICAL,0
MEDICAL ASSISTANCE NEED DO ASSISTANCE,0
MEDICAL ASSISTANCE NEED DO MEDICAL,0
MEDICAL NEED DO ASSISTANCE MEDICAL,0
MEDICAL ASSISTANCE NEED DO,0
MEDICAL NEED DO ASSISTANCE DO,0
NOT NEED MEDICAL ASSISTANCE,7.594288901439464e-10
NOT MEDICAL NEED ASSISTANCE,0
NOT NEED ASSISTANCE MEDICAL ASSISTANCE,0
NOT NEED MEDICAL ASSISTANCE MEDICAL,0
NOT MEDICAL NEED ASSISTANCE MEDICAL,0
NOT NEED ASSISTANCE MEDICAL,0
NOT NEED MEDICAL ASSISTANCE DO,0
NOT MEDICAL NEED ASSISTANCE DO,0
NOT NEED ASSISTANCE MEDICAL DO,0
NOT NEED MEDICAL DO ASSISTANCE,0
NOT MEDICAL NEED MEDICAL ASSISTANCE,0
NOT NEED MEDICAL,8.995955388021079e-09
NOT MEDICAL NEED MEDICAL,0
NOT NEED MEDICAL DO,0
NOT MEDICAL NEED MEDICAL DO,0
NOT NEED MEDICAL DO MEDICAL,0
NOT MEDICAL NEED DO ASSISTANCE,0
NOT NEED DO MEDICAL ASSISTANCE,0
NOT MEDICAL NEED DO MEDICAL,0
NOT NEED DO MEDICAL,0
NOT MEDICAL NEED DO,0
NOT NEED DO MEDICAL DO,0
NOT NEED ASSISTANCE,9.078403806483948e-09
NOT ASSISTANCE NEED ASSISTANCE,0
NOT ASSISTANCE NEED ASSISTANCE MEDICAL,0
NOT NEED ASSISTANCE DO,0
NOT ASSISTANCE NEED ASSISTANCE DO,0
NOT NEED ASSISTANCE DO ASSISTANCE,0
NOT ASSISTANCE NEED MEDICAL ASSISTANCE,0
NOT ASSISTANCE NEED MEDICAL,0
NOT ASSISTANCE NEED MEDICAL DO,0
NOT NEED ASSISTANCE DO MEDICAL,0
NOT ASSISTANCE NEED DO ASSISTANCE,0
NOT NEED DO ASSISTANCE,0
NOT ASSISTANCE NEED DO MEDICAL,0
NOT NEED DO ASSISTANCE MEDICAL,0
NOT ASSISTANCE NEED DO,0
NOT NEED DO ASSISTANCE DO,0
NOT NEED DO,1.0111291318115612e-09
PICK US UP,1.1048221712495199e-10
PICK UP US UP,0
PICK US UP PICK,0
PICK UP US PICK,0
PICK US PICK UP,0
PICK US UP US,0
PICK UP US,1.2064252906858937e-09
PICK US PICK,0
PICK US PICK US,0
PICK US,2.1400794909346804e-10
PICK UP,1.4943559349528403e-05
PICK UP PICK,1.0585406162721966e-09
PICK,4.055670066147275e-05
PICK UP PICK UP,1.0599724477774093e-09
PICK UP PICK US,0
US UP,7.177555596168024e-09
UP US UP,0
US UP PICK,0
UP US PICK,0
US PICK UP,5.841253406894491e-11
US UP US,0
UP US,3.086108807739963e-08
US PICK,2.0406810038083495e-10
US PICK US,0
US,0.00016618030785409132
UP,0.0014867738127038639
UP PICK,5.442874024171503e-09
UP PICK UP,1.6594290895103707e-09
UP PICK US,0
UP US UP PICK,0
UP US PICK UP,0
UP US UP US,0
UP PICK US UP,0
UP PICK US PICK,0
UP US PICK US,0
UP PICK UP PICK,4.724658719812425e-10
UP PICK UP US,0
DO NOT LAND HERE,5.003859294509342e-10
DO LAND NOT HERE,0
DO NOT HERE LAND HERE,0
DO NOT LAND HERE LAND,0
DO LAND NOT HERE LAND,0
DO NOT HERE LAND,0
DO LAND NOT LAND HERE,0
DO NOT LAND,2.6804414958447875e-08
DO LAND NOT LAND,0
DO LAND NOT,0
DO NOT HERE,4.0720939526589506e-08
DO HERE NOT HERE,0
DO HERE NOT HERE LAND,0
DO HERE NOT LAND HERE,0
DO HERE NOT LAND,0
DO HERE NOT,4.5294185069266746e-10
DO NOT,0.0007234452649881004
DO LAND HERE,1.799077322302741e-10
DO LAND DO HERE,0
DO HERE LAND HERE,0
DO LAND HERE LAND,0
DO LAND DO HERE LAND,0
DO HERE LAND,0
DO LAND DO LAND HERE,0
DO LAND,1.2121690926477266e-08
DO LAND DO LAND,0
DO LAND DO,0
DO HERE,1.0968675630100568e-06
DO HERE DO HERE,0
DO HERE DO HERE LAND,0
DO HERE DO LAND HERE,0
DO HERE DO LAND,0
DO HERE DO,1.931274492180298e-10
DO,0.001817898041968154
NOT LAND HERE,5.921535269071132e-09
NOT LAND NOT HERE,0
NOT HERE LAND HERE,0
NOT LAND HERE LAND,0
NOT LAND NOT HERE LAND,0
NOT HERE LAND,0
NOT LAND NOT LAND HERE,0
NOT LAND,3.0315801298706296e-07
NOT LAND NOT LAND,0
NOT LAND NOT,0.0
NOT HERE,7.363805826102419e-06
NOT HERE NOT HERE,2.6150115869002144e-10
NOT HERE NOT HERE LAND,0
NOT HERE NOT LAND HERE,0
NOT HERE NOT LAND,0
NOT HERE NOT,1.8442962099648093e-09
NOT,0.005928818160781427
NOT DO LAND HERE,0
NOT LAND DO HERE,0
NOT DO HERE LAND HERE,0
NOT DO LAND HERE LAND,0
NOT LAND DO HERE LAND,0
NOT DO HERE LAND,0
NOT LAND DO LAND HERE,0
NOT DO LAND,5.097338292200012e-11
NOT LAND DO LAND,0
NOT LAND DO,0
NOT DO HERE,2.0302133025655127e-08
NOT HERE DO HERE,0
NOT HERE DO HERE LAND,0
NOT HERE DO LAND HERE,0
NOT HERE DO LAND,0
NOT HERE DO,2.2420644669544445e-09
LAND NOT HERE,1.4603133517236227e-11
LAND NOT HERE LAND,0
LAND NOT LAND HERE,0
LAND NOT LAND,2.4794983196259796e-11
LAND NOT,1.234711723176185e-07
HERE NOT HERE,3.402670367691485e-10
HERE NOT HERE LAND,0
HERE NOT LAND HERE,0
HERE NOT LAND,0
HERE NOT,3.6889108610711297e-07
LAND DO HERE,0
LAND DO HERE LAND,0
LAND DO LAND HERE,0
LAND DO LAND,0
LAND DO,3.701712105822856e-08
HERE DO HERE,0
HERE DO HERE LAND,0
HERE DO LAND HERE,0
HERE DO LAND,0
HERE DO,2.926998232573308e-07
LAND HERE,1.5390723258461766e-07
HERE LAND HERE,6.35903542785717e-10
LAND HERE LAND,0
HERE LAND,1.4714551271888254e-08
LAND,0.0001768860701516495
HERE,0.0006764308367519363
DO LAND HERE LAND HERE,0
DO LAND HERE UP,0
DO LAND HERE LAND UP,0
DO LAND UP HERE,0
DO LAND UP,5.097338292200012e-11
DO LAND UP LAND,0
DO LAND UP LAND HERE,0
DO LAND UP LAND UP,0
DO HERE LAND HERE UP,0
DO LAND HERE UP HERE,0
DO HERE LAND HERE LAND,0
DO HERE LAND UP,0
DO LAND HERE UP LAND,0
DO HERE LAND UP HERE,0
DO LAND UP HERE UP,0
DO HERE LAND UP LAND,0
DO LAND UP HERE LAND,0
DO PICK LAND HERE,0
DO LAND PICK HERE,0
DO PICK HERE LAND HERE,0
DO PICK LAND HERE UP,0
DO LAND PICK HERE UP,0
DO PICK HERE LAND UP,0
DO PICK LAND UP HERE,0
DO PICK LAND HERE LAND,0
DO LAND PICK HERE LAND,0
DO PICK HERE LAND,0
DO LAND PICK LAND HERE,0
DO PICK LAND UP,0
DO LAND PICK LAND UP,0
DO PICK LAND UP LAND,0
DO PICK LAND,0
DO LAND PICK LAND,0
DO LAND PICK UP HERE,0
DO PICK UP LAND HERE,0
DO LAND PICK UP,0
DO PICK UP LAND UP,0
DO LAND PICK UP LAND,0
DO PICK UP LAND,0
DO PICK HERE,0
DO HERE PICK HERE,0
DO PICK HERE UP,0
DO HERE PICK HERE UP,0
DO PICK HERE UP HERE,0
DO HERE PICK HERE LAND,0
DO HERE PICK LAND HERE,0
DO HERE PICK LAND UP,0
DO PICK HERE UP LAND,0
DO HERE PICK LAND,0
DO HERE PICK UP HERE,0
DO PICK UP HERE,0
DO HERE PICK UP,0
DO PICK UP HERE UP,0
DO HERE PICK UP LAND,0
DO PICK UP HERE LAND,0
DO PICK UP,1.1085308770456917e-08
DO UP LAND HERE,0
DO UP HERE LAND HERE,0
DO UP LAND HERE UP,0
DO UP HERE LAND UP,0
DO UP LAND UP HERE,0
DO UP LAND HERE LAND,0
DO UP HERE LAND,0
DO UP LAND UP,0
DO UP LAND UP LAND,0
DO UP LAND,0
DO UP HERE,1.273584349092971e-08
DO HERE UP HERE,0
DO UP HERE UP,0
DO HERE UP HERE UP,0
DO UP HERE UP HERE,0
DO HERE UP HERE LAND,0
DO HERE UP LAND HERE,0
DO HERE UP LAND UP,0
DO UP HERE UP LAND,0
DO HERE UP LAND,0
DO HERE UP,0
DO UP,1.8043021431217907e-07
NEED LAND HERE,0
NEED LAND HERE LAND HERE,0
NEED LAND HERE UP,0
NEED LAND HERE LAND UP,0
NEED LAND UP HERE,0
NEED LAND HERE LAND,0
NEED LAND UP,0
NEED LAND UP LAND,0
NEED LAND,1.0999005034308583e-08
NEED LAND UP LAND HERE,0
NEED LAND UP LAND UP,0
NEED HERE LAND HERE,0
NEED HERE LAND HERE UP,0
NEED LAND HERE UP HERE,0
NEED HERE LAND HERE LAND,0
NEED HERE LAND UP,0
NEED LAND HERE UP LAND,0
NEED HERE LAND,0
NEED HERE LAND UP HERE,0
NEED LAND UP HERE UP,0
NEED HERE LAND UP LAND,0
NEED LAND UP HERE LAND,0
NEED PICK LAND HERE,0
NEED LAND PICK HERE,0
NEED PICK HERE LAND HERE,0
NEED PICK LAND HERE UP,0
NEED LAND PICK HERE UP,0
NEED PICK HERE LAND UP,0
NEED PICK LAND UP HERE,0
NEED PICK LAND HERE LAND,0
NEED LAND PICK HERE LAND,0
NEED PICK HERE LAND,0
NEED LAND PICK LAND HERE,0
NEED PICK LAND UP,0
NEED LAND PICK LAND UP,0
NEED PICK LAND UP LAND,0
NEED PICK LAND,0
NEED LAND PICK LAND,0
NEED LAND PICK UP HERE,0
NEED PICK UP LAND HERE,0
NEED LAND PICK UP,0
NEED PICK UP LAND UP,0
NEED LAND PICK UP LAND,0
NEED PICK UP LAND,0
NEED PICK HERE,0
NEED HERE PICK HERE,0
NEED PICK HERE UP,0
NEED HERE PICK HERE UP,0
NEED PICK HERE UP HERE,0
NEED HERE PICK HERE LAND,0
NEED HERE PICK LAND HERE,0
NEED HERE PICK LAND UP,0
NEED PICK HERE UP LAND,0
NEED HERE PICK LAND,0
NEED HERE PICK UP HERE,0
NEED PICK UP HERE,0
NEED HERE PICK UP,0
NEED PICK UP HERE UP,0
NEED HERE PICK UP LAND,0
NEED PICK UP HERE LAND,0
NEED PICK UP,3.129923311269896e-10
NEED UP LAND HERE,0
NEED UP HERE LAND HERE,0
NEED UP LAND HERE UP,0
NEED UP HERE LAND UP,0
NEED UP LAND UP HERE,0
NEED UP LAND HERE LAND,0
NEED UP HERE LAND,0
NEED UP LAND UP,0
NEED UP LAND UP LAND,0
NEED UP LAND,0
NEED UP HERE,1.7794484774569241e-09
NEED HERE UP HERE,0
NEED UP HERE UP,0
NEED HERE UP HERE UP,0
NEED UP HERE UP HERE,0
NEED HERE UP HERE LAND,0
NEED HERE UP LAND HERE,0
NEED HERE UP LAND UP,0
NEED UP HERE UP LAND,0
NEED HERE UP LAND,0
NEED HERE UP,0
NEED UP,2.409679265846787e-08
LAND HERE LAND HERE,0
LAND HERE UP,3.8014697871050864e-11
LAND HERE LAND UP,0
LAND UP HERE,5.0398886545603245e-09
LAND UP,7.81054239918736e-08
LAND UP LAND,0
LAND UP LAND HERE,0
LAND UP LAND UP,0
HERE LAND HERE UP,0
LAND HERE UP HERE,0
HERE LAND HERE LAND,0
HERE LAND UP,0
LAND HERE UP LAND,0
HERE LAND UP HERE,0
LAND UP HERE UP,0
HERE LAND UP LAND,0
LAND UP HERE LAND,0
PICK LAND HERE,0
LAND PICK HERE,0
PICK HERE LAND HERE,0
PICK LAND HERE UP,0
LAND PICK HERE UP,0
PICK HERE LAND UP,0
PICK LAND UP HERE,0
PICK LAND HERE LAND,0
LAND PICK HERE LAND,0
PICK HERE LAND,0
LAND PICK LAND HERE,0
PICK LAND UP,0
LAND PICK LAND UP,0
PICK LAND UP LAND,0
PICK LAND,1.1603652760872052e-10
LAND PICK LAND,0
LAND PICK UP HERE,0
PICK UP LAND HERE,0
LAND PICK UP,1.2123416853748736e-11
PICK UP LAND UP,0
LAND PICK UP LAND,0
PICK UP LAND,2.5538898773547203e-10
PICK HERE,3.639659931081729e-09
HERE PICK HERE,0
PICK HERE UP,0
HERE PICK HERE UP,0
PICK HERE UP HERE,0
HERE PICK HERE LAND,0
HERE PICK LAND HERE,0
HERE PICK LAND UP,0
PICK HERE UP LAND,0
HERE PICK LAND,0
HERE PICK UP HERE,0
PICK UP HERE,6.2138873421768714e-09
HERE PICK UP,1.091310983710366e-09
PICK UP HERE UP,0
HERE PICK UP LAND,0
PICK UP HERE LAND,0
UP LAND HERE,5.212449823617978e-10
UP HERE LAND HERE,0
UP LAND HERE UP,0
UP HERE LAND UP,0
UP LAND UP HERE,0
UP LAND HERE LAND,0
UP HERE LAND,0
UP LAND UP,2.5343132685022123e-11
UP LAND UP LAND,0
UP LAND,1.1357920896617098e-07
UP HERE,7.14820749397535e-06
HERE UP HERE,1.2122221629273788e-10
UP HERE UP,1.2783805033074932e-10
HERE UP HERE UP,0
UP HERE UP HERE,0
HERE UP HERE LAND,0
HERE UP LAND HERE,0
HERE UP LAND UP,0
UP HERE UP LAND,0
HERE UP LAND,0
HERE UP,2.8026970407685203e-08
NEED MEDICAL NOT ASSISTANCE,0
NEED NOT MEDICAL ASSISTANCE,0
NEED MEDICAL ASSISTANCE NOT,0
NEED MEDICAL NOT MEDICAL,0
NEED NOT MEDICAL,0
NEED MEDICAL NOT,0
NEED MEDICAL NOT DO,0
NEED NOT MEDICAL DO,0
NEED MEDICAL DO NOT,0
NEED ASSISTANCE NOT ASSISTANCE,0
NEED NOT ASSISTANCE,0
NEED ASSISTANCE NOT,1.2122221629273788e-10
NEED ASSISTANCE NOT MEDICAL,0
NEED NOT ASSISTANCE MEDICAL,0
NEED ASSISTANCE MEDICAL NOT,0
NEED ASSISTANCE NOT DO,0
NEED NOT ASSISTANCE DO,0
NEED ASSISTANCE DO NOT,1.2787030693554394e-11
NEED NOT DO,9.000485914438064e-08
NEED DO NOT,7.952397425755228e-09
MEDICAL NOT ASSISTANCE,0
MEDICAL NOT MEDICAL ASSISTANCE,0
MEDICAL ASSISTANCE NOT,6.171338208978601e-11
MEDICAL NOT MEDICAL,0
MEDICAL NOT,1.1544341570653611e-09
MEDICAL NOT DO,0
MEDICAL NOT MEDICAL DO,0
MEDICAL DO NOT,1.8487911548903393e-10
MEDICAL ASSISTANCE NOT ASSISTANCE,0
MEDICAL ASSISTANCE NOT MEDICAL,0
MEDICAL NOT ASSISTANCE MEDICAL,0
MEDICAL ASSISTANCE MEDICAL NOT,0
MEDICAL ASSISTANCE NOT DO,0
MEDICAL NOT ASSISTANCE DO,0
MEDICAL ASSISTANCE DO NOT,0.0
NOT MEDICAL NOT ASSISTANCE,0
NOT MEDICAL ASSISTANCE NOT,0
NOT MEDICAL NOT MEDICAL,0
NOT MEDICAL NOT,0
NOT MEDICAL NOT DO,0
NOT MEDICAL DO NOT,0
NOT ASSISTANCE NOT ASSISTANCE,0
NOT ASSISTANCE NOT,0
NOT ASSISTANCE NOT MEDICAL,0
NOT ASSISTANCE MEDICAL NOT,0
NOT ASSISTANCE NOT DO,0
NOT ASSISTANCE DO NOT,0
NOT DO NOT,8.507293690225107e-08
NEED MEDICAL ASSISTANCE NEED ASSISTANCE,0
NEED MEDICAL ASSISTANCE NEED MEDICAL,0
NEED MEDICAL ASSISTANCE NEED DO,0
MEDICAL NEED MEDICAL NEED ASSISTANCE,0
MEDICAL NEED MEDICAL NEED MEDICAL,0
MEDICAL NEED MEDICAL NEED DO,0
MEDICAL NEED ASSISTANCE NEED ASSISTANCE,0
MEDICAL NEED ASSISTANCE NEED MEDICAL,0
MEDICAL NEED ASSISTANCE NEED DO,0
NOT MEDICAL ASSISTANCE NEED ASSISTANCE,0
NOT MEDICAL ASSISTANCE NEED MEDICAL,0
NOT MEDICAL ASSISTANCE NEED DO,0
NOT NEED MEDICAL NEED ASSISTANCE,0
NOT NEED MEDICAL NEED MEDICAL,0
NOT NEED MEDICAL NEED DO,0
NOT NEED ASSISTANCE NEED ASSISTANCE,0
NOT NEED ASSISTANCE NEED MEDICAL,0
NOT NEED ASSISTANCE NEED DO,0
PICK ASSISTANCE MEDICAL NEED,0
PICK MEDICAL ASSISTANCE NEED,0
PICK ASSISTANCE NEED MEDICAL,0
PICK ASSISTANCE MEDICAL,0
PICK MEDICAL ASSISTANCE,0
PICK ASSISTANCE MEDICAL NOT,0
PICK MEDICAL ASSISTANCE NOT,0
PICK ASSISTANCE NOT MEDICAL,0
PICK ASSISTANCE NEED,0
PICK ASSISTANCE NEED ASSISTANCE,0
PICK ASSISTANCE NOT,0
PICK ASSISTANCE NOT ASSISTANCE,0
PICK NOT MEDICAL NEED,0
PICK MEDICAL NOT NEED,0
PICK NOT NEED MEDICAL,0
PICK NOT MEDICAL,0
PICK MEDICAL NOT,0
PICK NOT MEDICAL NOT,0
PICK NOT ASSISTANCE NEED,0
PICK ASSISTANCE NOT NEED,0
PICK NOT NEED ASSISTANCE,0
PICK NOT ASSISTANCE,0
PICK NOT ASSISTANCE NOT,0
PICK NOT NEED,0
PICK NOT,2.071817749767687e-09
PICK MEDICAL NEED,0
PICK MEDICAL NEED MEDICAL,0
PICK MEDICAL NOT MEDICAL,0
PICK MEDICAL NEED ASSISTANCE,0
PICK MEDICAL NOT ASSISTANCE,0
ASSISTANCE MEDICAL NEED,0
ASSISTANCE MEDICAL ASSISTANCE NEED,0
ASSISTANCE NEED MEDICAL,0
ASSISTANCE MEDICAL,9.886101728917573e-10
ASSISTANCE MEDICAL ASSISTANCE,8.982335130321614e-11
ASSISTANCE MEDICAL NOT,0
ASSISTANCE MEDICAL ASSISTANCE NOT,0
